Hand: [2, 4, 6, 8, 10];Bid: 910;Rank: 1;Type: HandType.HIGH_CARD
Hand: [2, 5, 6, 7, 12];Bid: 176;Rank: 2;Type: HandType.HIGH_CARD
Hand: [2, 5, 12, 7, 3];Bid: 352;Rank: 3;Type: HandType.HIGH_CARD
Hand: [2, 6, 11, 4, 13];Bid: 624;Rank: 4;Type: HandType.HIGH_CARD
Hand: [2, 7, 3, 5, 4];Bid: 266;Rank: 5;Type: HandType.HIGH_CARD
Hand: [2, 7, 5, 12, 9];Bid: 84;Rank: 6;Type: HandType.HIGH_CARD
Hand: [2, 8, 11, 13, 3];Bid: 850;Rank: 7;Type: HandType.HIGH_CARD
Hand: [2, 9, 7, 6, 14];Bid: 227;Rank: 8;Type: HandType.HIGH_CARD
Hand: [2, 9, 11, 4, 5];Bid: 996;Rank: 9;Type: HandType.HIGH_CARD
Hand: [2, 9, 11, 10, 5];Bid: 204;Rank: 10;Type: HandType.HIGH_CARD
Hand: [2, 9, 13, 10, 14];Bid: 173;Rank: 11;Type: HandType.HIGH_CARD
Hand: [2, 11, 4, 13, 5];Bid: 842;Rank: 12;Type: HandType.HIGH_CARD
Hand: [2, 11, 12, 6, 4];Bid: 139;Rank: 13;Type: HandType.HIGH_CARD
Hand: [2, 12, 4, 14, 9];Bid: 198;Rank: 14;Type: HandType.HIGH_CARD
Hand: [2, 12, 10, 13, 5];Bid: 456;Rank: 15;Type: HandType.HIGH_CARD
Hand: [2, 13, 5, 14, 3];Bid: 154;Rank: 16;Type: HandType.HIGH_CARD
Hand: [2, 14, 8, 12, 7];Bid: 361;Rank: 17;Type: HandType.HIGH_CARD
Hand: [2, 14, 11, 4, 7];Bid: 644;Rank: 18;Type: HandType.HIGH_CARD
Hand: [3, 2, 11, 14, 6];Bid: 335;Rank: 19;Type: HandType.HIGH_CARD
Hand: [3, 2, 14, 9, 5];Bid: 925;Rank: 20;Type: HandType.HIGH_CARD
Hand: [3, 5, 11, 12, 9];Bid: 951;Rank: 21;Type: HandType.HIGH_CARD
Hand: [3, 5, 13, 12, 10];Bid: 233;Rank: 22;Type: HandType.HIGH_CARD
Hand: [3, 5, 14, 13, 11];Bid: 682;Rank: 23;Type: HandType.HIGH_CARD
Hand: [3, 6, 8, 7, 4];Bid: 356;Rank: 24;Type: HandType.HIGH_CARD
Hand: [3, 6, 10, 14, 8];Bid: 906;Rank: 25;Type: HandType.HIGH_CARD
Hand: [3, 7, 9, 2, 12];Bid: 602;Rank: 26;Type: HandType.HIGH_CARD
Hand: [3, 7, 12, 10, 14];Bid: 747;Rank: 27;Type: HandType.HIGH_CARD
Hand: [3, 8, 5, 13, 9];Bid: 217;Rank: 28;Type: HandType.HIGH_CARD
Hand: [3, 8, 11, 14, 13];Bid: 748;Rank: 29;Type: HandType.HIGH_CARD
Hand: [3, 8, 12, 6, 5];Bid: 619;Rank: 30;Type: HandType.HIGH_CARD
Hand: [3, 9, 11, 12, 8];Bid: 319;Rank: 31;Type: HandType.HIGH_CARD
Hand: [3, 9, 14, 2, 10];Bid: 523;Rank: 32;Type: HandType.HIGH_CARD
Hand: [3, 9, 14, 7, 4];Bid: 941;Rank: 33;Type: HandType.HIGH_CARD
Hand: [3, 11, 2, 6, 5];Bid: 574;Rank: 34;Type: HandType.HIGH_CARD
Hand: [3, 13, 2, 12, 14];Bid: 274;Rank: 35;Type: HandType.HIGH_CARD
Hand: [3, 13, 6, 9, 5];Bid: 801;Rank: 36;Type: HandType.HIGH_CARD
Hand: [3, 13, 9, 11, 4];Bid: 360;Rank: 37;Type: HandType.HIGH_CARD
Hand: [3, 13, 10, 6, 4];Bid: 245;Rank: 38;Type: HandType.HIGH_CARD
Hand: [3, 14, 9, 12, 5];Bid: 215;Rank: 39;Type: HandType.HIGH_CARD
Hand: [4, 3, 9, 6, 2];Bid: 51;Rank: 40;Type: HandType.HIGH_CARD
Hand: [4, 5, 13, 6, 2];Bid: 674;Rank: 41;Type: HandType.HIGH_CARD
Hand: [4, 6, 9, 10, 14];Bid: 965;Rank: 42;Type: HandType.HIGH_CARD
Hand: [4, 7, 5, 3, 12];Bid: 209;Rank: 43;Type: HandType.HIGH_CARD
Hand: [4, 7, 9, 12, 2];Bid: 731;Rank: 44;Type: HandType.HIGH_CARD
Hand: [4, 7, 10, 6, 2];Bid: 393;Rank: 45;Type: HandType.HIGH_CARD
Hand: [4, 7, 11, 8, 13];Bid: 162;Rank: 46;Type: HandType.HIGH_CARD
Hand: [4, 7, 13, 8, 3];Bid: 536;Rank: 47;Type: HandType.HIGH_CARD
Hand: [4, 8, 7, 2, 6];Bid: 782;Rank: 48;Type: HandType.HIGH_CARD
Hand: [4, 8, 11, 6, 12];Bid: 67;Rank: 49;Type: HandType.HIGH_CARD
Hand: [4, 10, 2, 5, 14];Bid: 423;Rank: 50;Type: HandType.HIGH_CARD
Hand: [4, 11, 13, 3, 10];Bid: 920;Rank: 51;Type: HandType.HIGH_CARD
Hand: [4, 11, 13, 12, 6];Bid: 664;Rank: 52;Type: HandType.HIGH_CARD
Hand: [4, 12, 3, 7, 2];Bid: 525;Rank: 53;Type: HandType.HIGH_CARD
Hand: [4, 12, 6, 9, 10];Bid: 52;Rank: 54;Type: HandType.HIGH_CARD
Hand: [5, 2, 9, 13, 6];Bid: 236;Rank: 55;Type: HandType.HIGH_CARD
Hand: [5, 2, 12, 4, 9];Bid: 707;Rank: 56;Type: HandType.HIGH_CARD
Hand: [5, 6, 4, 2, 9];Bid: 98;Rank: 57;Type: HandType.HIGH_CARD
Hand: [5, 6, 9, 2, 11];Bid: 21;Rank: 58;Type: HandType.HIGH_CARD
Hand: [5, 6, 11, 12, 13];Bid: 424;Rank: 59;Type: HandType.HIGH_CARD
Hand: [5, 7, 4, 14, 9];Bid: 442;Rank: 60;Type: HandType.HIGH_CARD
Hand: [5, 7, 9, 3, 2];Bid: 957;Rank: 61;Type: HandType.HIGH_CARD
Hand: [5, 7, 12, 11, 2];Bid: 579;Rank: 62;Type: HandType.HIGH_CARD
Hand: [5, 8, 2, 11, 9];Bid: 627;Rank: 63;Type: HandType.HIGH_CARD
Hand: [5, 8, 11, 6, 10];Bid: 452;Rank: 64;Type: HandType.HIGH_CARD
Hand: [5, 8, 13, 2, 4];Bid: 466;Rank: 65;Type: HandType.HIGH_CARD
